H,split,model,percentile,threshold,tail_MAE,tail_RMSE,n_tail,tau,alpha,eps,huber_alpha,val_objective,max_depth,eta,subsample,colsample_bytree,lambda,num_boost_round,w_mid,w_danger,w_tail
1,test,Tuned Hybrid (Graph + XGB residual),95,44.984493255615234,20.178394182003668,60.076435915953454,1150,6.0,3.842951781528555,0.047399932900472924,1.6633619682580091e-06,13.328726903448317,5.0,0.05623276571392487,0.6,0.8473844151325475,4.762314859371926,378.0,3.1274990443054302,4.509392805081966,17.005172695715945
1,test,Tuned Hybrid (Graph + XGB residual),99,61.66539001464844,46.458233583600666,129.91611720785204,230,6.0,3.842951781528555,0.047399932900472924,1.6633619682580091e-06,13.328726903448317,5.0,0.05623276571392487,0.6,0.8473844151325475,4.762314859371926,378.0,3.1274990443054302,4.509392805081966,17.005172695715945
1,test,XGB,90,37.66999816894531,15.16280460357666,43.60105365564934,2301,,,,,,,,,,,,,,
1,test,XGB,95,44.984493255615234,21.54835319519043,60.463406175372924,1150,,,,,,,,,,,,,,
1,test,XGB,99,61.66539001464844,50.44557571411133,130.59186930328013,230,,,,,,,,,,,,,,
3,test,Huber,90,37.66999816894531,19.694511097708983,48.542273036985904,2301,,,,,,,,,,,,,,
3,test,Huber,95,44.984493255615234,26.89038328863474,62.21754567419714,1150,,,,,,,,,,,,,,
3,test,Huber,99,61.66539001464844,59.020807835080774,132.27679853339987,230,,,,,,,,,,,,,,
3,test,Huber Graph,90,37.66999816894531,21.400994876615155,47.84355360211423,2301,3.0,,,,,,,,,,,,,
3,test,Huber Graph,95,44.984493255615234,29.229018778289042,63.20358094717163,1150,3.0,,,,,,,,,,,,,
3,test,Huber Graph,99,61.66539001464844,61.869509946436445,133.22805724714334,230,3.0,,,,,,,,,,,,,
3,test,Hybrid (Graph + XGB residual),90,37.66999816894531,18.625830173732556,45.95402150029837,2301,3.0,,,,,,,,,,,,,
3,test,Hybrid (Graph + XGB residual),95,44.984493255615234,25.07978856797267,61.716233018463456,1150,3.0,,,,,,,,,,,,,
3,test,Hybrid (Graph + XGB residual),99,61.66539001464844,55.289616105830774,131.60362401562284,230,3.0,,,,,,,,,,,,,
3,test,RF,90,37.66999816894531,18.598116678245265,45.36099378678199,2301,,,,,,,,,,,,,,
3,test,RF,95,44.984493255615234,25.898534357575606,61.94787436611152,1150,,,,,,,,,,,,,,
3,test,RF,99,61.66539001464844,57.50546738248789,132.12918172384266,230,,,,,,,,,,,,,,
3,test,Ridge,90,37.66999816894531,20.132747650146484,48.571596135723965,2301,,,,,,,,,,,,,,
3,test,Ridge,95,44.984493255615234,27.60318374633789,62.429016331175085,1150,,,,,,,,,,,,,,
3,test,Ridge,99,61.66539001464844,60.70121383666992,132.63347492950263,230,,,,,,,,,,,,,,
3,test,Static-Graph Huber,90,37.66999816894531,21.33103205279255,47.782955090843586,2301,4.0,,,,,,,,,,,,,
3,test,Static-Graph Huber,95,44.984493255615234,29.162090260490015,63.15852681255724,1150,4.0,,,,,,,,,,,,,
3,test,Static-Graph Huber,99,61.66539001464844,61.82013388806688,133.1649803383195,230,4.0,,,,,,,,,,,,,
